OBJECTID_1,OBJECTID,Id,GridID,Total,Shape__Area,Shape__Length
1221,1938,0,1938,1,6969599.83813477,10559.9998773336
1222,1676,0,1676,4,6969599.83813477,10559.9998773336
1223,1812,0,1812,0,6969599.83813477,10559.9998773336
1224,1699,0,1699,3,6969600.70410156,10560.0005334914
1225,1958,0,1958,5,6969599.8380127,10559.9998773336
1226,2061,0,2061,1,6969599.83813477,10559.9998773336
1227,2647,0,2647,3,6969599.83813477,10559.9998773336
1228,2157,0,2157,3,6969600.70422363,10560.0005335212
1229,994,0,994,3,6969599.83813477,10559.9998773336
1230,605,0,605,4,6969599.83813477,10559.9998773336
1231,1284,0,1284,3,6969599.8380127,10559.9998773336
1232,1382,0,1382,5,6969599.8380127,10559.9998773336
1233,1734,0,1734,3,6969599.8380127,10559.9998773336
1234,3613,0,3613,2,6969600.70410156,10560.0005334914
1235,2568,0,2568,3,6969599.83813477,10559.9998773336
1236,1600,0,1600,4,6969599.83813477,10559.9998773336
1237,2914,0,2914,1,6969599.8380127,10559.9998773336
1238,1584,0,1584,2,6969599.8380127,10559.9998773336
1239,1824,0,1824,1,6969599.83813477,10559.9998773336
1240,1576,0,1576,2,6969599.8380127,10559.9998773336
1241,3735,0,3735,3,6969599.83813477,10559.9998773336
1242,1408,0,1408,1,6969599.8380127,10559.9998773336
1243,1298,0,1298,1,6969599.83813477,10559.9998773336
1244,2064,0,2064,1,6969599.83813477,10559.9998773336
1245,3205,0,3205,3,6969599.83813477,10559.9998773336
1246,585,0,585,3,6969599.83813477,10559.9998773336
1247,1945,0,1945,1,6969599.83813477,10559.9998773336
1248,2173,0,2173,0,6969601.57043457,10560.0011897087
1249,3398,0,3398,3,6969600.70410156,10560.0005334914
1250,2754,0,2754,2,6969599.83813477,10559.9998773336
1251,1191,0,1191,5,6969599.83813477,10559.9998773336
1252,2740,0,2740,4,6969599.8380127,10559.9998773336
1253,1494,0,1494,4,6969599.83813477,10559.9998773336
1254,3095,0,3095,4,6969599.83813477,10559.9998773336
1255,2399,0,2399,4,6969599.8380127,10559.9998773336
1256,2512,0,2512,5,6969599.8380127,10559.9998773336
1257,1306,0,1306,4,6969599.83813477,10559.9998773336
1258,779,0,779,4,6969599.83813477,10559.9998773336
1259,2817,0,2817,5,6969600.70410156,10560.0005334914
1260,972,0,972,4,6969600.7043457,10560.0005334914
1261,2170,0,2170,2,6969600.7043457,10560.0005335212
1262,2688,0,2688,2,6969599.83813477,10559.9998773336
1263,1405,0,1405,3,6969599.83813477,10559.9998773336
1264,699,0,699,3,6969599.83813477,10559.9998773336
1265,2219,0,2219,2,6969599.8380127,10559.9998773336
1266,2354,0,2354,2,6969599.83813477,10559.9998773336
1267,2933,0,2933,3,6969599.83813477,10559.9998773336
1268,1380,0,1380,5,6969599.83813477,10559.9998773336
1269,2738,0,2738,1,6969599.83825684,10559.9998773336
1270,646,0,646,3,6969599.8380127,10559.9998773336
1271,3338,0,3338,4,6969599.83813477,10559.9998773336
1272,3042,0,3042,4,6969599.8380127,10559.9998773336
1273,617,0,617,3,6969599.83813477,10559.9998773336
1274,888,0,888,0,6969599.8380127,10559.9998773336
1275,2450,0,2450,3,6969599.8380127,10559.9998773336
1276,1704,0,1704,2,6969599.8380127,10559.9998773336
1277,2398,0,2398,4,6969599.8380127,10559.9998773336
1278,2166,0,2166,1,6969600.70422363,10560.0005335212
1279,2190,0,2190,4,6969600.70422363,10560.0005335212
